Timestamp(ms),Current(uA),D0-D7
9450,19229.672,00000000
9460,19227.670,00000000
9470,19242.012,00000000
9480,19245.244,00000000
9490,19236.627,00000000
9500,19239.717,00000000
9510,19242.443,00000000
9520,19230.900,00000000
9530,19228.488,00000000
9540,19233.527,00000000
9550,19227.160,00000000
9560,19242.688,00000000
9570,19245.473,00000000
9580,19229.086,00000000
9590,19225.098,00000000
9600,19230.168,00000000
9610,19226.625,00000000
9620,19238.584,00000000
9630,19241.539,00000000
9640,19221.803,00000000
9650,19218.660,00000000
9660,19222.643,00000000
9670,19228.090,00000000
9680,19228.514,00000000
9690,19227.547,00000000
9700,19225.061,00000000
9710,19241.775,00000000
9720,19247.711,00000000
9730,19233.291,00000000
9740,19225.988,00000000
9750,19239.098,00000000
9760,19232.660,00000000
9770,19238.023,00000000
9780,19235.029,00000000
9790,19235.137,00000000
9800,19237.494,00000000
9810,19258.713,00000000
9820,19255.932,00000000
9830,19250.436,00000000
9840,19238.721,00000000
9850,19236.416,00000000
9860,19244.268,00000000
9870,19237.568,00000000
9880,19238.242,00000000
9890,19238.313,00000000
9900,19234.750,00000000
9910,19227.861,00000000
9920,19244.715,00000000
9930,19248.234,00000000
9940,19243.035,00000000
9950,19241.008,00000000
9960,19236.904,00000000
9970,19253.350,00000000
9980,19243.258,00000000
9990,19236.785,00000000
10000,19247.033,00000000
10010,19241.521,00000000
10020,19247.611,00000000
10030,19238.398,00000000
10040,19240.303,00000000
10050,19251.131,00000000
10060,19254.236,00000000
10070,19249.668,00000000
10080,19254.508,00000000
10090,19231.615,00000000
10100,19239.184,00000000
10110,19232.510,00000000
10120,19241.697,00000000
10130,19238.266,00000000
10140,19242.352,00000000
10150,19237.898,00000000
10160,19233.766,00000000
10170,19240.975,00000000
10180,19242.066,00000000
10190,19247.678,00000000
10200,19236.598,00000000
10210,19239.451,00000000
10220,19238.809,00000000
10230,19249.184,00000000
10240,19237.264,00000000
10250,19248.455,00000000
10260,19247.291,00000000
10270,19251.096,00000000
10280,19225.895,00000000
10290,19243.227,00000000
10300,19227.309,00000000
10310,19238.529,00000000
10320,19238.551,00000000
10330,19251.895,00000000
10340,19239.781,00000000
10350,19248.002,00000000
10360,19238.289,00000000
10370,19248.566,00000000
10380,19251.729,00000000
10390,19244.611,00000000
10400,19239.500,00000000
10410,19238.902,00000000
10420,19243.455,00000000
10430,19240.455,00000000
10440,19248.914,00000000
10450,19247.582,00000000
10460,19245.320,00000000
10470,19246.969,00000000
10480,19230.592,00000000
10490,19237.123,00000000
10500,19238.371,00000000
10510,19248.471,00000000
10520,19245.971,00000000
10530,19249.451,00000000
10540,19245.900,00000000
10550,19242.367,00000000
10560,19237.229,00000000
10570,19237.477,00000000
10580,19237.943,00000000
10590,19261.814,00000000
10600,19244.863,00000000
10610,19234.709,00000000
10620,19223.902,00000000
10630,19228.348,00000000
10640,19236.111,00000000
10650,19236.664,00000000
10660,19237.035,00000000
10670,19231.043,00000000
10680,19239.295,00000000
10690,19230.203,00000000
10700,19222.947,00000000
10710,19233.594,00000000
10720,19238.885,00000000
10730,19225.883,00000000
10740,19225.191,00000000
10750,19221.588,00000000
10760,19221.668,00000000
10770,19237.092,00000000
10780,19240.307,00000000
10790,19223.424,00000000
10800,19241.678,00000000
10810,19223.113,00000000
10820,19218.635,00000000
10830,19221.900,00000000
10840,19228.934,00000000
10850,19227.254,00000000
10860,19234.865,00000000
10870,19231.264,00000000
10880,19244.404,00000000
10890,19254.291,00000000
10900,19241.498,00000000
10910,19242.111,00000000
10920,19240.158,00000000
10930,19237.967,00000000
10940,19230.109,00000000
10950,19227.912,00000000
10960,19224.410,00000000
10970,19233.559,00000000
10980,19234.023,00000000
10990,19222.164,00000000
11000,19230.150,00000000
11010,19235.779,00000000
11020,19244.463,00000000
11030,19221.330,00000000
11040,19214.520,00000000
11050,19213.389,00000000
11060,19213.203,00000000
11070,19221.227,00000000
11080,19226.307,00000000
11090,19222.234,00000000
11100,19238.756,00000000
11110,19229.711,00000000
11120,19243.377,00000000
11130,19232.102,00000000
11140,19224.391,00000000
11150,19234.713,00000000
11160,19242.729,00000000
11170,19241.768,00000000
11180,19225.088,00000000
11190,19211.781,00000000
11200,19220.020,00000000
11210,19226.582,00000000
11220,19228.756,00000000
11230,19227.598,00000000
11240,19223.408,00000000
11250,19218.795,00000000
11260,19211.697,00000000
11270,19210.756,00000000
11280,19220.146,00000000
11290,19224.555,00000000
11300,19240.266,00000000
11310,19239.791,00000000
11320,19239.014,00000000
11330,19233.174,00000000
11340,19240.523,00000000
11350,19242.852,00000000
11360,19245.066,00000000
11370,19234.436,00000000
11380,19228.148,00000000
11390,19220.025,00000000
